ID,SC1,SC2
0,0.17038966309419373,-0.036305135300474196
1,-0.17301164842832253,1.1755016200604982
2,1.4286757099096898,0.16406107066025044
3,-1.1883674838800076,-0.07559767955563569
4,1.128262395583681,0.6553728369167755
5,1.2055345170583458,-2.0776345117407593
6,-1.1307396493866573,-0.9488468904870568
7,0.932669647291444,0.10814299516301672
8,-0.5061158467685982,-1.3215123432035467
9,0.5230008565508403,-0.06048188804187405
10,0.17038966309419373,-0.036305135300474196
11,-0.23927912764640993,-0.20493001850536519
12,0.5371428224038662,0.13647946784371132
13,-0.36860439672055983,0.6282717783067393
14,0.5230008565508403,-0.06048188804187405
15,0.29978729793391995,-1.5858422012777316
16,0.5316405012755774,2.1931989614554106
17,1.1913201854397437,-1.5582605984611924
18,0.932669647291444,0.10814299516301672
19,-1.1363143362805226,1.8242078722897948
20,-0.17301164842832253,1.1755016200604982
21,-2.66072957314387,0.10264107303250741
22,-2.0223449026580576,-0.2600932241384435
23,-1.354025573769154,-1.7578719345577618
24,-1.2877580945510667,-0.37744029599189827
25,-0.7395541528021828,0.1456127930204607
26,2.0392299124402995,-1.1219010071069773
27,0.29428497680563126,0.47087729233396775
28,-1.63979905079832,-1.4193143901282106
29,-0.8830937534949349,1.4981885031121323
30,1.2276530062547402,0.9572154533530381
31,0.5230008565508403,-0.06048188804187405
32,0.5230008565508403,-0.06048188804187405
33,-0.3301673854576754,1.0854756362763256
34,0.5230008565508403,-0.06048188804187405
35,1.128262395583681,0.6553728369167755
